Number,sample,fq1,fq2,Subject,Abbrv,reps,,Lines,Genotype/Accesion IDs,Source,Category
70,S9-L48-1,S9-L48-1_L001_R1_001.fastq.gz,S9-L48-1_L001_R2_001.fastq.gz,S9,L48,1,48,LR15,PI 628503,Xu et al. 2020,Landrace
71,S9-L48-2,S9-L48-2_L001_R1_001.fastq.gz,S9-L48-2_L001_R2_001.fastq.gz,S9,L48,2,48,LR15,PI 628503,Xu et al. 2020,Landrace
72,S9-L48-3,S9-L48-3_L001_R1_001.fastq.gz,S9-L48-3_L001_R2_001.fastq.gz,S9,L48,3,48,LR15,PI 628503,Xu et al. 2020,Landrace
73,S9-L49-1,S9-L49-1_L001_R1_001.fastq.gz,S9-L49-1_L001_R2_001.fastq.gz,S9,L49,1,49,LR16,PI 628514,Xu et al. 2020,Landrace
74,S9-L49-2,S9-L49-2_L001_R1_001.fastq.gz,S9-L49-2_L001_R2_001.fastq.gz,S9,L49,2,49,LR16,PI 628514,Xu et al. 2020,Landrace
75,S9-L49-3,S9-L49-3_L001_R1_001.fastq.gz,S9-L49-3_L001_R2_001.fastq.gz,S9,L49,3,49,LR16,PI 628514,Xu et al. 2020,Landrace
76,S9-L50-1,S9-L50-1_L001_R1_001.fastq.gz,S9-L50-1_L001_R2_001.fastq.gz,S9,L50,1,50,LR19,PI 686064,NA,Landrace
77,S9-L50-2,S9-L50-2_L001_R1_001.fastq.gz,S9-L50-2_L001_R2_001.fastq.gz,S9,L50,2,50,LR19,PI 686064,NA,Landrace
78,S9-L50-3,S9-L50-3_L001_R1_001.fastq.gz,S9-L50-3_L001_R2_001.fastq.gz,S9,L50,3,50,LR19,PI 686064,NA,Landrace
79,S9-M1-1,S9-M1-1_L001_R1_001.fastq.gz,S9-M1-1_L001_R2_001.fastq.gz,S9,M1,1,1,MZ17,A619,Hapmap3,Modern maize
80,S9-M1-2,S9-M1-2_L001_R1_001.fastq.gz,S9-M1-2_L001_R2_001.fastq.gz,S9,M1,2,1,MZ17,A619,Hapmap3,Modern maize
81,S9-M1-3,S9-M1-3_L001_R1_001.fastq.gz,S9-M1-3_L001_R2_001.fastq.gz,S9,M1,3,1,MZ17,A619,Hapmap3,Modern maize
82,S9-M10-1,S9-M10-1_L001_R1_001.fastq.gz,S9-M10-1_L001_R2_001.fastq.gz,S9,M10,1,10,MZ4,Il14H,NAM Parents,Modern maize
83,S9-M10-2,S9-M10-2_L001_R1_001.fastq.gz,S9-M10-2_L001_R2_001.fastq.gz,S9,M10,2,10,MZ4,Il14H,NAM Parents,Modern maize
84,S9-M10-3,S9-M10-3_L001_R1_001.fastq.gz,S9-M10-3_L001_R2_001.fastq.gz,S9,M10,3,10,MZ4,Il14H,NAM Parents,Modern maize
85,S9-M13-1,S9-M13-1_L001_R1_001.fastq.gz,S9-M13-1_L001_R2_001.fastq.gz,S9,M13,1,13,MZ6,M37W,NAM Parents,Modern maize
86,S9-M13-2,S9-M13-2_L001_R1_001.fastq.gz,S9-M13-2_L001_R2_001.fastq.gz,S9,M13,2,13,MZ6,M37W,NAM Parents,Modern maize
87,S9-M13-3,S9-M13-3_L001_R1_001.fastq.gz,S9-M13-3_L001_R2_001.fastq.gz,S9,M13,3,13,MZ6,M37W,NAM Parents,Modern maize
88,S9-M14-1,S9-M14-1_L001_R1_001.fastq.gz,S9-M14-1_L001_R2_001.fastq.gz,S9,M14,1,14,MZ7,M162W,NAM Parents,Modern maize
89,S9-M14-2,S9-M14-2_L001_R1_001.fastq.gz,S9-M14-2_L001_R2_001.fastq.gz,S9,M14,2,14,MZ7,M162W,NAM Parents,Modern maize
90,S9-M14-3,S9-M14-3_L001_R1_001.fastq.gz,S9-M14-3_L001_R2_001.fastq.gz,S9,M14,3,14,MZ7,M162W,NAM Parents,Modern maize
91,S9-M15-1,S9-M15-1_L001_R1_001.fastq.gz,S9-M15-1_L001_R2_001.fastq.gz,S9,M15,1,15,MZ9,Mo18W,NAM Parents,Modern maize
92,S9-M15-2,S9-M15-2_L001_R1_001.fastq.gz,S9-M15-2_L001_R2_001.fastq.gz,S9,M15,2,15,MZ9,Mo18W,NAM Parents,Modern maize
93,S9-M15-3,S9-M15-3_L001_R1_001.fastq.gz,S9-M15-3_L001_R2_001.fastq.gz,S9,M15,3,15,MZ9,Mo18W,NAM Parents,Modern maize
94,S9-M16-1,S9-M16-1_L001_R1_001.fastq.gz,S9-M16-1_L001_R2_001.fastq.gz,S9,M16,1,16,MZ11,Ms71,NAM Parents,Modern maize
95,S9-M16-2,S9-M16-2_L001_R1_001.fastq.gz,S9-M16-2_L001_R2_001.fastq.gz,S9,M16,2,16,MZ11,Ms71,NAM Parents,Modern maize
96,S9-M16-3,S9-M16-3_L001_R1_001.fastq.gz,S9-M16-3_L001_R2_001.fastq.gz,S9,M16,3,16,MZ11,Ms71,NAM Parents,Modern maize
97,S9-M17-1,S9-M17-1_L001_R1_001.fastq.gz,S9-M17-1_L001_R2_001.fastq.gz,S9,M17,1,17,MZ23,MS153,Hapmap3,Modern maize
98,S9-M17-2,S9-M17-2_L001_R1_001.fastq.gz,S9-M17-2_L001_R2_001.fastq.gz,S9,M17,2,17,MZ23,MS153,Hapmap3,Modern maize
99,S9-M17-3,S9-M17-3_L001_R1_001.fastq.gz,S9-M17-3_L001_R2_001.fastq.gz,S9,M17,3,17,MZ23,MS153,Hapmap3,Modern maize
